Pump,GPH,Head_Inches,Head_Feet,Head_CM,Inline,Input,Output,Dims,Watts,Variable flow,Price
Via Aqua 8000,2200,180,15,457.2,No,"1""","1""","12"" L x 6"" W x 6 3/4"" H",175,Yes,$85.99 
Via Aqua 305,315,51.2,4.27,130,No,,".625""","3 1/4"" L x 2 1/2"" W x 3 1/2"" H",18,Yes,$13.99 
Via Aqua DP-18000 Multi Duty,3828,252,21,640.1,No,"2""","2""",,250,Yes,$179.99 
Via Aqua # BH-2000AD,600,,,,No,,,,20,No,$79.99 
Rio 32 HF,1920,129.6,14,426.7,No,"1.25""","1""","6"" x 4.5"" x 3.25""",115,No,$99.99 
Rio 26 HF,1590,156,13,396.2,No,"1.25""","1""","6"" x 4.5"" x 3.25""",100,Yes,$89.99 
Rio 20 HF,1290,129.6,10.8,329.2,No,"1.25""","1""","5.4"" x 2.7"" x 3.7""",60,No,$72.99 
Rio 3100,900,114,9.5,290,No,"1""",".75""","6.0"" x 3.1"" x 4.28""",73,Yes,
Rio 1700,642,96,8,244,No,"1""",".75""","5.75"" x 2.63"" x 4.2""",33,Yes,$42.99 
Rio 1100,382,72,6,180,No,"1""",".63""","4.86"" x 2.5"" x 3.25""",23,Yes,$27.99 
Rio 1000,271,55,4.6,140,No,".8""",".63""","4.86"" x 2.5"" x 3.25""",13,Yes,$26.99 
Rio 600,200,48,4,122,No,".63""",".5""","2.5"" x 1.7"" x 2.3""",9.5,Yes,$18.99 
Rio 200,138,36,3,92,No,".63""",".5""","2.5"" x 1.7"" x 2.3""",6,Yes,$16.99 
Rio 90,85,24,2,61,No,".63""",".5""","2.2"" x 1.4"" x 1.8""",2.8,Yes,$13.99 
SunSun JP-23 Power Head,264,52,4.3,130,No,,".625""","3"" L x 2"" W x 3"" H",16,Yes,$13.99 
SunSun HJ-411,75,24,2,60,No,,".375""",1.9 L x 1.75 W x 1.35 H,2,Yes,$8.99 
SunSun JP-033,160,40,3.35,100,No,,".5""","2.35"" L x 1.8"" W x 2.15"" H",12,Yes,$10.99 
SunSun HJ-1542,370,79,6.5,200,No,,".625"" to .75""",5.4 L x 3.75 W x 4 H,28,No,$19.99 
SunSun JP-066,475,102,8.5,259,No,,".625"" to .75""","4"" L x 2 3/4"" W x 4"" H",45,Yes,$21.99 
SunSun JP-065,317,78,6.5,200,No,,"0.5"" to 0.625""","3 1/4"" L x 2 1/2"" W x 3 1/2"" H",22,Yes,$16.99 
SunSun JP-054,238,63,5.25,160,No,,"0.5"" to 0.625""","3 1/2"" L x 2 3/4"" W x 2 3/4"" H",14,Yes,$14.99 
SunSun HQB-2500,528,98,8.2,2.5,No,,".75""","6"" L x 3.25"" W x 4.75"" H",55,No,$41.99 
SunSun HQB-3500,792,138,11.48,3.5,No,,".75""","6"" L x 3.25"" W x 4.75"" H",85,No,$59.99 
SunSun JAP-8500 Amphibious Pump,2245,276,23,700,Yes,"1"" to 1.25"" "," 1"" to 1.25""","14.75"" L x 5.12"" W x 6"" H",330,No,$135.99 
SunSun JAP-18000 Amphibious Pump,4755,295,24.6,750,Yes,"1"" to 1.25"" "," 1"" to 1.25""","15.75"" L x 5.5"" W x 6.5"" H",420,No,$149.99 
SunSun JTP-12000 High Output/Efficiency Pond Pump,3170,240,20,610,Yes,"1.5"" ",".75"" to 1.5""","9"" L x 5.6"" W x 5.45"" H",100,No,$169.99 
King 1A,185,36,3,91.4,Yes,".5""",".5""","5 1/2"" x 2"" x 3""",10,,$15.99 
Seio 320,320,,,,,,,,,,
